Choice,Objectif_Atteint,Compet_Acquises,Heures_Travail_Passees,Satis_Videos,Satis_Ress_Compl,Satis_Quizz,Satis_Supports_Ecrits,Satis_Forums,Satis_Anim_,Recommand,Inscri_Proch_Sess
choice_0,Oui,"Comprendre des concepts nouveaux, cruciaux dans le monde des entreprises a l'ere numerique",Moins d'1h,5,5,5,5,5,5,Oui,Oui
choice_1,Non,Comprendre l'evolution de certaines methodes traditionnelles,2h a 4h,4,4,4,4,4,4,Non,Non
choice_2,Partiellement,"Comprendre l'impact du numerique sur la societe, les entreprises, et les entrepreneurs",5h a 8h,3,3,3,3,3,3,,
choice_3,,,Plus de 8h,2,2,2,2,2,2,,
choice_4,,,,1,1,1,1,1,1,,
choice_5,,,,,,,,,,,
choice_6,,,,,,,,,,,
Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide
