Choice,Objectif_Atteint,Compet_Acquises,Heures_Travail_Passees,Satis_Videos,Satis_Supports_Ecrits,Satis_Quizz,Satis_Discussion,Satis_Exos,Satis_LAB,Satis_Exam_Final,Satis_Discussion,Satis_Anim,Recommand,Inscri_Proch_Sess
choice_0,Oui,Connaitre les principes de fonctionnement du routage dans les reseaux,Moins d'1h,5,5,5,5,5,5,5,5,5,Oui,Oui
choice_1,Non,Savoir identifier les principaux protocoles de routage existants et pouvoir en choisir un en fonction de vos besoins,2h a 4h,4,4,4,4,4,4,4,4,4,Non,Non
choice_2,Partiellement,Identifier les enjeux de la qualite de service dans l'Internet,5h a 8h,3,3,3,3,3,3,3,3,3,,
choice_3,,Planifier le parametrage du reseau afin assurer la qualite de service,Plus de 8h,2,2,2,2,2,2,2,2,2,,
choice_4,,,,1,1,1,1,1,1,1,1,1,,
choice_5,,,,,,,,,,,,,,
choice_6,,,,,,,,,,,,,,
Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide,Vide
