,id,course_specific_id,gender,year_of_birth,level_of_education,Objectif_Atteint,Compet_acquises,Heures_Travail_Passees,Satis_Videos,Satis_Supports_Ecrits,Satis_Quizz,Satis_TD,Satis_TP,Satis_Exam,Satis_Temoignages_Pros,Satis_Forums,Satis_Ex_S0,Satis_Rythme,Recommand,Inscri_Proch_Sess,country,enrollment_time,certificate,unenroll
122,62630e131b9d645fde6bebb993fd47524c582175cbcb6dfe6bd04bf58d27bac2,6259532c14146b2c03360831ecad56a5,m,1994,m,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,3,5,4,5,5,3,2,1,4,4,Oui,Oui,Tunisia,2015-09-19 21:18:20,True,True
123,a39fbb5f0d12302f1e73b981873e0a8eac6c24b94b6e9a0128001a421ee999cc,c68d17da7ec76e8287b4624cedf175e0,m,1995,m,Oui,Savoir analyser les proprietes d'un service et en deduire les besoins en termes de reseau,Moins d'1h,4,5,4,5,5,5,4,1,5,4,Oui,Oui,France,2015-09-30 16:53:26,True,True
124,cdfa51c582fb8fd258e7fa328121e98521f6c7bdbf6dcf32648c6c1da1382891,c4725e3489508650a4ad562253596bb8,f,1994,m,Partiellement,"Connaitre l'internet IP, TCP et UDP et leurs propretes",5h a 8h,4,4,5,4,4,3,3,4,4,4,Oui,Oui,Tunisia,2015-09-21 17:35:01,True,True
125,837ea1a17486c8c7bc69ca5d0865c6ee9da93688797ffb549834bb82cc8e3627,4b1553685ad8bab22e20253450c0c317,m,1994,,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",Plus de 8h,3,4,4,3,3,3,4,4,3,2,Oui,Oui,Tunisia,2015-09-21 18:21:33,True,True
126,552f1fcad7f923cccd301bd957632e7842356b439d7636341c026cdab4cbc21d,443953bd5423c25390490b33fa07999d,m,1994,m,Partiellement,"Connaitre l'internet IP, TCP et UDP et leurs propretes",5h a 8h,3,4,4,4,4,3,3,3,3,4,Oui,Oui,Tunisia,2015-09-21 22:29:45,True,True
127,cc9c9737a39fdc1dcc2eb8f0e0af06bfe82bd5203910dd577b01f42da0ba3862,feb9311b18683121f15a03f9a231a482,m,1994,hs,Oui,Savoir lire et interpreter le contenu d'une trame captee sur un reseau,5h a 8h,4,4,4,4,5,5,4,4,4,4,Oui,Oui,Tunisia,2015-09-21 22:34:57,True,True
128,42ed7c569d9a11a6408e2cc527db220b3a56a915c5e6053a2514a08069ab4605,af13cff59a76b9d167f53047fa78986b,,None,p,Oui,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",2h a 4h,5,4,4,5,5,4,3,1,1,4,Oui,Non,France,2015-10-06 12:04:58,True,False
129,3e92259cb4f2db3efec9791360c3901b976edb3e7fa6b0ef433a37d096501e34,87bd0fd36d5367e86aca85eb200618ca,f,1994,b,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,4,4,4,4,3,4,3,3,4,3,Oui,Oui,Tunisia,2015-09-22 21:02:35,True,True
130,9cee4b0590b1a939174dcd096df58df66953671fd99123d9bfbc8de9fffb3376,0d0f09635845d755f913b4ad6ca98c05,m,1994,m,Partiellement,Savoir lire et interpreter le contenu d'une trame captee sur un reseau,5h a 8h,3,2,4,4,4,1,2,2,1,2,Oui,Non,Tunisia,2015-09-22 17:23:57,True,True
131,670f0d8b9214e69ed822095dc681178c160e04b146956b86df8e619f53ef051c,c8fe7792a06157336d45dff4227c478b,m,1994,a,Partiellement,"Connaitre les architectures reseaux, les mecanismes reseaux, pile de protocoles etc.",5h a 8h,3,4,4,4,4,4,4,3,5,5,Oui,Oui,Tunisia,2015-09-22 19:32:24,True,True
